127.0.0.1 - - [23/May/2020:17:30:26 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [23/May/2020:17:30:49 +0530] "OPTIONS /lmsspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/May/2020:17:30:52 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [23/May/2020:17:33:17 +0530] "GET /lmsspringrest/showUsers HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [23/May/2020:17:33:39 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [23/May/2020:17:35:31 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [23/May/2020:19:12:18 +0530] "OPTIONS /lmsspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [23/May/2020:19:12:18 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [23/May/2020:19:12:27 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/May/2020:19:12:34 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [23/May/2020:19:12:39 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/May/2020:19:12:42 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [23/May/2020:19:12:46 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/May/2020:19:13:08 +0530] "GET /lmsspringrest/showUsers HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [23/May/2020:19:15:49 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/May/2020:19:15:51 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [23/May/2020:19:15:52 +0530] "GET /lmsspringrest/showIssuedBooks HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [23/May/2020:19:15:57 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 294
